subj_idx,condition,congruency,response,rt
4,enhanced,congruent,1,0.44939999997615815
4,enhanced,incongruent,1,0.5304000000357628
4,enhanced,incongruent,1,0.44680000001192094
4,enhanced,incongruent,1,0.4707000000476837
4,enhanced,congruent,1,0.43210000002384186
4,enhanced,incongruent,1,0.49939999997615814
4,enhanced,congruent,1,0.388
4,enhanced,congruent,1,0.42869999998807906
4,enhanced,incongruent,1,0.49
4,enhanced,congruent,1,0.4511999999880791
4,enhanced,incongruent,1,0.45020000004768373
4,enhanced,congruent,1,0.3523000000119209
4,enhanced,incongruent,1,0.442
4,enhanced,incongruent,1,0.44310000002384187
4,enhanced,congruent,1,0.45989999997615816
4,enhanced,congruent,1,0.4411999999880791
4,enhanced,incongruent,1,0.4904000000357628
4,enhanced,incongruent,1,0.4123000000119209
4,enhanced,congruent,1,0.41919999998807905
4,enhanced,congruent,1,0.4183999999761581
4,enhanced,congruent,1,0.4277000000476837
4,enhanced,incongruent,1,0.4305
4,enhanced,congruent,1,0.4016999999880791
4,enhanced,incongruent,1,0.578300000011921
4,enhanced,incongruent,1,0.5109000000357627
4,enhanced,incongruent,1,0.49069999998807906
4,enhanced,incongruent,1,0.5370999999642372
4,enhanced,incongruent,1,0.5141999999880791
4,enhanced,congruent,1,0.4496000000238419
4,enhanced,congruent,1,0.4369000000357628
4,enhanced,congruent,1,0.3916000000238419
4,enhanced,congruent,1,0.493
4,enhanced,incongruent,1,0.5263999999761582
4,enhanced,incongruent,1,0.487
4,enhanced,congruent,1,0.4205
4,enhanced,incongruent,1,0.5341999999880791
4,enhanced,congruent,1,0.4456999999880791
4,enhanced,congruent,1,0.4123999999761581
4,enhanced,incongruent,1,0.5292000000476837
4,enhanced,incongruent,1,0.5195999999642372
4,enhanced,congruent,1,0.40639999997615817
4,degraded,incongruent,1,0.4878000000119209
4,degraded,congruent,1,0.5070999999642372
4,degraded,incongruent,1,0.6255
4,degraded,congruent,1,0.435
4,degraded,incongruent,1,0.533699999988079
4,degraded,congruent,1,0.5521999999880791
4,degraded,congruent,1,0.5259000000357628
4,degraded,congruent,1,0.5926999999880791
4,degraded,incongruent,1,0.5603999999761582
4,degraded,congruent,1,0.598199999988079
4,degraded,incongruent,1,0.5696000000238418
4,degraded,incongruent,1,0.590199999988079
4,degraded,incongruent,1,0.5618000000119209
4,degraded,congruent,1,0.5083999999761581
4,degraded,incongruent,1,0.6453999999761582
4,degraded,congruent,1,0.49789999997615814
4,degraded,incongruent,1,0.5485
4,degraded,congruent,1,0.5016999999880791
4,degraded,incongruent,1,0.5636999999880791
4,degraded,congruent,1,0.5081999999880791
4,degraded,congruent,1,0.49839999997615814
4,degraded,congruent,1,0.399
4,degraded,congruent,1,0.4496999999880791
4,degraded,incongruent,1,0.6226000000238419
4,degraded,congruent,1,0.47210000002384184
4,degraded,incongruent,1,0.5612999999523163
4,degraded,congruent,1,0.4360999999642372
4,degraded,incongruent,1,0.6341999999880791
4,degraded,congruent,1,0.4456999999880791
4,degraded,incongruent,1,0.5265
4,degraded,incongruent,1,0.6217000000476837
4,degraded,incongruent,1,0.604
4,degraded,congruent,1,0.464
4,degraded,incongruent,1,0.559800000011921
4,degraded,incongruent,1,0.5394000000357628
4,degraded,congruent,1,0.6281000000238418
4,degraded,congruent,1,0.533
4,degraded,incongruent,1,0.4972999999523163
4,degraded,congruent,1,0.42619999998807906
4,degraded,congruent,1,0.4566000000238419
4,degraded,incongruent,1,0.5818000000119209
4,degraded,incongruent,1,0.6383000000119209
4,degraded,congruent,1,0.46159999996423723
4,degraded,incongruent,1,0.5213000000119209
4,degraded,incongruent,1,0.5655
4,degraded,incongruent,1,0.557800000011921
4,degraded,congruent,1,0.46230000001192095
4,degraded,congruent,1,0.4783999999761581
4,degraded,incongruent,1,0.568
4,degraded,incongruent,1,0.5491999999880791
4,degraded,incongruent,1,0.525800000011921
4,degraded,congruent,1,0.4367000000476837
4,degraded,congruent,1,0.4265
4,degraded,incongruent,1,0.5439000000357628
4,degraded,incongruent,1,0.5241999999880791
4,degraded,incongruent,1,0.506
4,degraded,congruent,1,0.5132000000476837
4,degraded,congruent,1,0.44470000004768373
4,degraded,congruent,1,0.40909999996423724
4,degraded,incongruent,1,0.5705
4,degraded,congruent,1,0.4455
4,degraded,congruent,1,0.4309000000357628
4,degraded,incongruent,1,0.4511000000238419
4,degraded,congruent,1,0.4564000000357628
5,standard,congruent,1,0.427
5,standard,congruent,1,0.446
5,standard,congruent,1,0.41
5,standard,incongruent,1,0.702
5,standard,congruent,1,0.503
5,standard,incongruent,1,0.699
5,standard,congruent,1,0.67
5,standard,incongruent,1,0.607
5,standard,incongruent,1,0.577
5,standard,incongruent,1,0.625
5,standard,congruent,1,0.514
5,standard,incongruent,1,0.504
5,standard,incongruent,1,0.55
5,standard,incongruent,1,0.6020000000000145
5,standard,congruent,1,0.4599999999999854
5,standard,congruent,1,0.564
5,standard,congruent,1,0.45099999999998547
5,standard,incongruent,1,0.48500000000001453
5,standard,congruent,1,0.464
5,standard,incongruent,1,0.5250000000000146
5,standard,incongruent,1,0.459
5,standard,congruent,1,0.438
5,standard,incongruent,1,0.493
5,standard,incongruent,1,0.5720000000000292
5,standard,congruent,1,0.515
5,standard,incongruent,1,0.6059999999999709
5,standard,congruent,1,0.482
5,standard,congruent,1,0.449
5,standard,congruent,1,0.586
5,standard,incongruent,1,0.432
5,standard,congruent,1,0.416
5,standard,incongruent,1,0.67
5,standard,congruent,1,0.426
5,standard,congruent,1,0.5489999999999708
5,standard,incongruent,0,0.5609999999999709
5,standard,incongruent,1,0.61
5,standard,incongruent,1,0.485
5,standard,congruent,1,0.4000000000000291
5,standard,incongruent,1,0.655
5,standard,congruent,1,0.545
5,standard,incongruent,1,0.649
5,standard,incongruent,1,0.667
5,standard,congruent,1,0.663999999999971
5,standard,incongruent,1,0.478
5,standard,congruent,1,0.424
5,standard,congruent,1,0.4270000000000291
5,standard,incongruent,1,0.66
5,standard,congruent,1,0.445
5,standard,congruent,1,0.474
5,standard,congruent,1,0.4419999999999709
5,standard,incongruent,0,0.4650000000000291
5,standard,incongruent,1,0.6
5,standard,incongruent,1,0.553
5,standard,incongruent,1,0.663
5,standard,congruent,1,0.702
5,standard,congruent,1,0.484
5,standard,incongruent,1,0.601
5,standard,incongruent,1,0.614
5,standard,congruent,1,0.6019999999999709
5,standard,congruent,1,0.734
5,standard,incongruent,1,0.5519999999999708
5,standard,congruent,1,0.682
5,standard,congruent,1,0.469
5,standard,incongruent,1,0.647
5,enhanced,incongruent,1,0.602
5,enhanced,congruent,1,0.396
5,enhanced,congruent,1,0.515
5,enhanced,incongruent,1,0.588
5,enhanced,congruent,1,0.4419999999999418
5,enhanced,incongruent,1,0.595
5,enhanced,incongruent,1,0.595
5,enhanced,congruent,1,0.5050000000000582
5,enhanced,congruent,1,0.442
5,enhanced,incongruent,1,0.551
5,enhanced,congruent,1,0.5149999999999418
5,enhanced,congruent,1,0.5749999999999418
5,enhanced,incongruent,1,0.738
5,enhanced,incongruent,1,0.714
5,enhanced,congruent,1,0.487
5,enhanced,incongruent,1,0.524
5,enhanced,incongruent,1,0.646
5,enhanced,congruent,1,0.507
5,enhanced,incongruent,1,0.469
5,enhanced,congruent,1,0.379
5,enhanced,congruent,1,0.35
5,enhanced,congruent,1,0.518
